state,sex,c34_site,age_group,num_cases,person_years
Alabama,1,98,17,1,185331
Alabama,1,98,18,1,138559
Alabama,1,98,19,0,0
Alabama,2,98,1,0,722286
Alabama,2,98,2,0,746955
Alabama,2,98,3,0,762052
Alabama,2,98,4,0,785795
Alabama,2,98,5,1,855155
Alabama,2,98,6,0,820403
Alabama,2,98,7,0,778991
Alabama,2,98,8,0,761761
Alabama,2,98,9,0,777854
Alabama,2,98,10,0,801130
Alabama,2,98,11,0,867784
Alabama,2,98,12,1,874487
Alabama,2,98,13,1,792513
Alabama,2,98,14,0,687840
Alabama,2,98,15,0,519501
Alabama,2,98,16,0,386570
Alabama,2,98,17,1,277171
Alabama,2,98,18,0,288560
Alabama,2,98,19,0,0
Alabama,1,99,1,0,748751
Alabama,1,99,2,0,776383
Alabama,1,99,3,0,792473
Alabama,1,99,4,0,811958
Alabama,1,99,5,0,867073
Alabama,1,99,6,0,803453
Alabama,1,99,7,2,747581
Alabama,1,99,8,2,720894
Alabama,1,99,9,2,736737
Alabama,1,99,10,19,763736
Alabama,1,99,11,49,817501
Alabama,1,99,12,107,806290
Alabama,1,99,13,135,710285
Alabama,1,99,14,188,602518
Alabama,1,99,15,192,432262
Alabama,1,99,16,161,293645
Alabama,1,99,17,203,185331
Alabama,1,99,18,175,138559
Alabama,1,99,19,0,0
Alabama,2,99,1,0,722286
Alabama,2,99,2,0,746955
Alabama,2,99,3,0,762052
Alabama,2,99,4,0,785795
Alabama,2,99,5,0,855155
Alabama,2,99,6,0,820403
Alabama,2,99,7,1,778991
Alabama,2,99,8,2,761761
Alabama,2,99,9,5,777854
Alabama,2,99,10,6,801130
Alabama,2,99,11,35,867784
Alabama,2,99,12,64,874487
Alabama,2,99,13,72,792513
Alabama,2,99,14,122,687840
Alabama,2,99,15,118,519501
Alabama,2,99,16,157,386570
Alabama,2,99,17,130,277171
Alabama,2,99,18,202,288560
Alabama,2,99,19,0,0
Alabama,1,100,1,0,748751
Alabama,1,100,2,0,776383
Alabama,1,100,3,0,792473
Alabama,1,100,4,0,811958
Alabama,1,100,5,0,867073
Alabama,1,100,6,0,803453
Alabama,1,100,7,0,747581
Alabama,1,100,8,1,720894
Alabama,1,100,9,2,736737
Alabama,1,100,10,14,763736
Alabama,1,100,11,36,817501
Alabama,1,100,12,48,806290
Alabama,1,100,13,82,710285
Alabama,1,100,14,67,602518
Alabama,1,100,15,74,432262
Alabama,1,100,16,40,293645
Alabama,1,100,17,21,185331
Alabama,1,100,18,12,138559
Alabama,1,100,19,0,0
Alabama,2,100,1,0,722286
Alabama,2,100,2,0,746955
Alabama,2,100,3,0,762052
Alabama,2,100,4,0,785795
Alabama,2,100,5,1,855155
Alabama,2,100,6,0,820403
Alabama,2,100,7,2,778991
Alabama,2,100,8,0,761761
Alabama,2,100,9,3,777854
Alabama,2,100,10,7,801130
Alabama,2,100,11,26,867784
Alabama,2,100,12,32,874487
Alabama,2,100,13,44,792513
Alabama,2,100,14,70,687840
Alabama,2,100,15,50,519501
Alabama,2,100,16,28,386570
Alabama,2,100,17,18,277171
Alabama,2,100,18,18,288560
Alabama,2,100,19,0,0
Alabama,1,101,1,0,748751
Alabama,1,101,2,0,776383
Alabama,1,101,3,0,792473
Alabama,1,101,4,0,811958
Alabama,1,101,5,0,867073
Alabama,1,101,6,0,803453
Alabama,1,101,7,2,747581
Alabama,1,101,8,9,720894
Alabama,1,101,9,34,736737
Alabama,1,101,10,100,763736
Alabama,1,101,11,361,817501
Alabama,1,101,12,672,806290
Alabama,1,101,13,850,710285
Alabama,1,101,14,1010,602518
Alabama,1,101,15,1012,432262
Alabama,1,101,16,739,293645
Alabama,1,101,17,444,185331
Alabama,1,101,18,212,138559
Alabama,1,101,19,0,0
Alabama,2,101,1,0,722286
Alabama,2,101,2,0,746955
Alabama,2,101,3,1,762052
Alabama,2,101,4,1,785795
Alabama,2,101,5,0,855155
Alabama,2,101,6,0,820403
Alabama,2,101,7,4,778991
Alabama,2,101,8,8,761761
Alabama,2,101,9,25,777854
Alabama,2,101,10,98,801130
Alabama,2,101,11,227,867784
